,Unnamed: 0,2016postVFP,process,2016preVFP,2016
0,qcd_200to300,17569141.0,qcd_200to300,2704527536.2742,2722096677.2742
1,zz,1151000.0,zz,7934000.0,9085000.0
2,st_tW_top,80821596.0546875,st_tW_top,15859130.783078274,96680726.83776577
3,ttbar_2l,3140166855.921875,ttbar_2l,34109.101893288,3140200965.0237684
4,ttG,8868961.103515625,ttG,26312661.0,35181622.103515625
5,qcd_50to100,11197186.0,qcd_50to100,4577157.351784498,15774343.351784497
6,qcd_2000toInf,1847781.0,qcd_2000toInf,3503675.0,5351456.0
7,wz,7584000.0,wz,4727975.8821435,12311975.882143501
8,ttbar_0l,33609112268.0625,ttbar_0l,1282000.0,33610394268.0625
9,qcd_700to1000,13750537.0,qcd_700to1000,4773503.0,18524040.0
10,st_tW_antitop,83026105.25390625,st_tW_antitop,15341307.0,98367412.25390625
11,qcd_500to700,14212819.0,qcd_500to700,16524587.0,30737406.0
12,ttbar_1l,43548451112.03125,ttbar_1l,14186416.0,43562637528.03125
13,ww,15821137.255004885,ww,39772305735.14001,39788126872.39501
14,qcd_300to500,16747056.0,qcd_300to500,1629000.0,18376056.0
15,ttH_nonbb,4656092.7626953125,ttH_nonbb,74624666.33600001,79280759.09869532
16,ttH_bb,4933064.635986328,ttH_bb,74766343.79400003,79699408.42998636
17,qcd_100to200,23717410.0,qcd_100to200,12233035.0,35950445.0
18,ttW,14396003.0,ttW,30530922535.484005,30545318538.484005
19,qcd_1500to2000,3003707.0,qcd_1500to2000,17127765.0,20131472.0
20,ttZ,14329456.0,ttZ,287986.5921072,14617442.5921072
21,tttt,36884.77744293213,tttt,15775001.0,15811885.777442932
22,st_tZq,307250.19622802734,st_tZq,15808790.0,16116040.196228027
23,qcd_1000to1500,4365993.0,qcd_1000to1500,9472781.3904,13838774.3904
