,2016preVFP,process
ttbar_2l,2704527536.2742,ttbar_2l
wz,7934000.0,wz
ww,15859130.783078274,ww
tttt,34109.101893288,tttt
qcd_100to200,26312661.0,qcd_100to200
ttH_nonbb,4577157.351784498,ttH_nonbb
qcd_1500to2000,3503675.0,qcd_1500to2000
ttH_bb,4727975.8821435,ttH_bb
zz,1282000.0,zz
qcd_1000to1500,4773503.0,qcd_1000to1500
qcd_300to500,15341307.0,qcd_300to500
qcd_200to300,16524587.0,qcd_200to300
ttW,14186416.0,ttW
ttbar_1l,39772305735.14001,ttbar_1l
qcd_2000toInf,1629000.0,qcd_2000toInf
st_tW_top,74624666.33600001,st_tW_top
st_tW_antitop,74766343.79400003,st_tW_antitop
qcd_50to100,12233035.0,qcd_50to100
ttbar_0l,30530922535.484005,ttbar_0l
ttZ,17127765.0,ttZ
st_tZq,287986.5921072,st_tZq
qcd_500to700,15775001.0,qcd_500to700
qcd_700to1000,15808790.0,qcd_700to1000
ttG,9472781.3904,ttG
